,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,Tweet,coords
0,Jsp_Mcl,2022-11-11 17:08:07+00:00,1.0,,3.0,0.0,1.5911155687905403e+18,https://twitter.com/Jsp_Mcl/status/1591115568790540289,Macherla,"['WeStandWithKiranRoyal', 'janaswaramNEWS', 'JaganannaMosam']","[Photo(previewUrl='https://pbs.twimg.com/media/FhTHLWjVUAAnTS8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhTHLWjVUAAnTS8?format=jpg&name=large')]",keyword,"అందరి పైన నోరు వేసుకొని పడిపోయే @RojaSelvamaniRK కొంచెం నోరు అదుపులో పెట్టుకోవాలి అని సలహా ఇచ్చిన వారిని ఇలా నీ అధికార బలం తో అక్రమంగా అరెస్ట్ చేయించడం ఎంత వరకు సమంజసం..? వెంటనే @mekiranroyal గారిని విడుదల చేయాలి.
#WeStandWithKiranRoyal
#janaswaramNEWS 
#JaganannaMosam https://t.co/41CsR8qpEL","16.4761106,79.4364146"
1,anjaneshkarumu2,2022-11-12 07:07:51+00:00,0.0,,0.0,0.0,1.5913268946619638e+18,https://twitter.com/anjaneshkarumu2/status/1591326894661963776,Parchur,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWHX4MUcAI0cvb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWHX4MUcAI0cvb?format=jpg&name=large')]",keyword,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/xjSguRclyW","15.9639,80.2739"
2,anjaneshkarumu2,2022-11-12 06:48:31+00:00,2.0,,2.0,0.0,1.591322029411963e+18,https://twitter.com/anjaneshkarumu2/status/1591322029411962881,Parchur,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWC8jXVIAAJb2c?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8jXVIAAJb2c?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWC8hFUcAEiWnI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8hFUcAEiWnI?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWC8hHUoAAKa0Z?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8hHUoAAKa0Z?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWC8hEVUAA5Uls?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8hEVUAA5Uls?format=jpg&name=large')]",keyword,#JaganannaMosam https://t.co/8nNs07OlQp,"15.9639,80.2739"
3,Chaithu_Jsp,2022-11-12 06:43:05+00:00,2.0,,1.0,0.0,1.5913206624295526e+18,https://twitter.com/Chaithu_Jsp/status/1591320662429552640,Parchur,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591320008361414656/pu/img/VIeWoBin2M53O3mB.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591320008361414656/pu/vid/490x270/CI1xNrHwFfK1LWiW.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591320008361414656/pu/vid/640x352/07axwI2iJXQMt_CX.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591320008361414656/pu/pl/SEKiHDZ7rk0DZePu.m3u8?tag=12&container=fmp4', bitrate=None)], duration=140.004, views=11)]",keyword,"#JaganannaMosam
 చీరాల నియోజకవర్గంలోని వేటపాలెం మండలంలో జరిగిన అవకతవకల రాజు స్వగృహ, ఇవి ప్రస్తుతం రాష్ట్ర ప్రభుత్వ ఆధీనంలో ఉన్నాయి, ఎక్కువ రేట్లకు అమ్ముకోవాలని ప్రయత్నిస్తున్నాయి, ఈ కుంభకోణాలను చీరాల నియోజకవర్గ జనసేన పార్టీ వెలుగులోకి తీసుకురావడం జరిగింది. https://t.co/gENEaCeoM0","15.9639,80.2739"
4,Chaithu_Jsp,2022-11-12 06:42:56+00:00,0.0,,0.0,0.0,1.591320623393149e+18,https://twitter.com/Chaithu_Jsp/status/1591320623393148928,Parchur,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWBrA9acAITmA2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWBrA9acAITmA2?format=jpg&name=large')]",keyword,#JaganannaMosam https://t.co/cB7K7pEDvm,"15.9639,80.2739"
5,Chaithu_Jsp,2022-11-12 06:42:51+00:00,0.0,,0.0,0.0,1.591320601847038e+18,https://twitter.com/Chaithu_Jsp/status/1591320601847037952,Parchur,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWBoq2akAEWw2z?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWBoq2akAEWw2z?format=jpg&name=large')]",keyword,#JaganannaMosam https://t.co/fahmJP2IUj,"15.9639,80.2739"
6,anjaneshkarumu2,2022-11-12 07:07:51+00:00,0.0,,0.0,0.0,1.5913268946619638e+18,https://twitter.com/anjaneshkarumu2/status/1591326894661963776,Chirala,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWHX4MUcAI0cvb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWHX4MUcAI0cvb?format=jpg&name=large')]",keyword,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/xjSguRclyW","15.8361517,80.3636644"
7,anjaneshkarumu2,2022-11-12 06:48:31+00:00,2.0,,2.0,0.0,1.591322029411963e+18,https://twitter.com/anjaneshkarumu2/status/1591322029411962881,Chirala,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWC8jXVIAAJb2c?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8jXVIAAJb2c?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWC8hFUcAEiWnI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8hFUcAEiWnI?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWC8hHUoAAKa0Z?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8hHUoAAKa0Z?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWC8hEVUAA5Uls?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWC8hEVUAA5Uls?format=jpg&name=large')]",keyword,#JaganannaMosam https://t.co/8nNs07OlQp,"15.8361517,80.3636644"
8,Chaithu_Jsp,2022-11-12 06:43:05+00:00,2.0,,1.0,0.0,1.5913206624295526e+18,https://twitter.com/Chaithu_Jsp/status/1591320662429552640,Chirala,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591320008361414656/pu/img/VIeWoBin2M53O3mB.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591320008361414656/pu/vid/490x270/CI1xNrHwFfK1LWiW.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591320008361414656/pu/vid/640x352/07axwI2iJXQMt_CX.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591320008361414656/pu/pl/SEKiHDZ7rk0DZePu.m3u8?tag=12&container=fmp4', bitrate=None)], duration=140.004, views=11)]",keyword,"#JaganannaMosam
 చీరాల నియోజకవర్గంలోని వేటపాలెం మండలంలో జరిగిన అవకతవకల రాజు స్వగృహ, ఇవి ప్రస్తుతం రాష్ట్ర ప్రభుత్వ ఆధీనంలో ఉన్నాయి, ఎక్కువ రేట్లకు అమ్ముకోవాలని ప్రయత్నిస్తున్నాయి, ఈ కుంభకోణాలను చీరాల నియోజకవర్గ జనసేన పార్టీ వెలుగులోకి తీసుకురావడం జరిగింది. https://t.co/gENEaCeoM0","15.8361517,80.3636644"
9,Chaithu_Jsp,2022-11-12 06:42:56+00:00,0.0,,0.0,0.0,1.591320623393149e+18,https://twitter.com/Chaithu_Jsp/status/1591320623393148928,Chirala,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWBrA9acAITmA2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWBrA9acAITmA2?format=jpg&name=large')]",keyword,#JaganannaMosam https://t.co/cB7K7pEDvm,"15.8361517,80.3636644"
